date,price,rsi,macd,bb_upper,bb_lower,momentum,volatility,rsi_signal,macd_signal,bb_signal,momentum_signal,volatility_signal,combined_signal,position
2025-09-10,4401.26,68.8608776696409,10.593109345921244,4391.792099755502,4260.881900244499,88.98999999999978,32.727549877750604,0,1,-1,1,0,0.3,2
2025-09-10,4404.9,69.47732144415681,10.859128299210735,4403.954239732215,4259.709760267786,96.35999999999967,36.06111986610734,0,1,-1,1,0,0.3,2
2025-09-10,4385.71,62.45744320140894,9.144815343712704,4410.516438654694,4261.230561345305,72.72000000000025,37.3214693273472,0,1,-1,1,0,0.3,2
2025-09-10,4367.14,56.50748266060179,6.297859898678505,4413.281230086633,4264.936769913366,37.32000000000062,37.08611504331641,0,1,0,1,0,0.5,2
2025-09-10,4341.5,49.496269769374116,2.4246832131082154,4413.8290988854205,4266.678901114579,9.090000000000146,36.787549442710244,0,1,0,1,0,0.5,2
2025-09-10,4322.72,45.08390905244356,-1.4564079125588218,4413.626237272823,4268.144762727177,-2.3599999999996726,36.37036863641159,0,-1,0,-1,0,-0.5,2
2025-09-10,4329.92,47.033404347803376,-3.477704091726917,4411.558931380074,4274.631068619925,2.9899999999997817,34.231965690037406,0,-1,0,1,0,-0.09999999999999998,0
2025-09-10,4349.93,52.120516456678324,-3.4019264783032988,4411.402195033219,4279.502804966782,18.61999999999989,32.97484751660948,0,-1,0,1,0,-0.09999999999999998,0
2025-09-10,4345.8,51.03110517422735,-3.548520752441645,4411.550447764937,4282.207552235062,-25.1899999999996,32.33572388246864,0,-1,0,-1,0,-0.5,0
2025-09-10,4349.32,51.95288618723647,-3.330515778765424,4411.8481380477915,4284.797861952209,-68.60000000000036,31.76256902389578,0,-1,0,-1,0,-0.5,0
2025-09-11,4359.83,54.695076504032414,-2.441738851738064,4412.177353795493,4289.224646204507,-41.43000000000029,30.738176897746598,0,-1,0,-1,0,-0.5,0
2025-09-11,4365.55,56.161514897078725,-1.4792476074423906,4412.164034930807,4294.938965069192,-39.349999999999454,29.306267465403995,0,-1,0,-1,0,-0.5,0
2025-09-11,4376.77,58.96715259135562,-0.166640383117727,4413.074531091433,4300.406468908567,-8.9399999999996,28.16701554571635,0,-1,0,-1,0,-0.5,0
2025-09-11,4404.1,64.86562718473641,2.32508608617937,4418.952274821025,4301.956725178975,36.960000000000036,29.248887410512573,0,1,-1,1,0,0.3,0
2025-09-11,4411.32,66.24605849324291,4.136568675105378,4425.390841935718,4303.409158064282,69.81999999999971,30.495420967858962,0,1,-1,1,0,0.3,0
2025-09-11,4419.03,67.70526315736379,5.448569246202769,4431.701746461413,4306.493253538587,96.30999999999949,31.302123230706663,0,1,-1,1,0,0.3,0
2025-09-11,4440.0,71.33497965823288,7.2125307579631475,4441.39375441485,4308.10824558515,110.07999999999993,33.321377207425165,-1,1,-1,1,0,0.09999999999999998,0
2025-09-11,4440.41,71.40265598290314,7.838772869503391,4449.5387150484685,4310.873284951532,90.47999999999956,34.666357524233995,-1,1,-1,1,0,0.09999999999999998,0
2025-09-11,4431.42,67.63216160514486,7.101333667094892,4455.878001409172,4310.576998590828,85.61999999999989,36.3252507045859,0,1,-1,1,0,0.3,0
2025-09-11,4416.29,61.72462637399249,5.139797385830036,4455.644142431464,4310.647857568535,66.97000000000025,36.24907121573218,0,1,0,1,0,0.5,0
2025-09-11,4427.82,64.28486480957336,4.203512022851509,4459.189836179473,4309.758163820527,67.98999999999978,37.35791808973652,0,1,0,1,0,0.5,2
2025-09-11,4429.8,64.72127454207808,3.3398763552675135,4462.554545394083,4308.883454605917,64.25,38.41777269704158,0,1,0,1,0,0.5,2
2025-09-11,4426.06,63.15157189986678,2.1944000272456883,4466.558445237324,4308.914554762676,49.289999999999964,39.410972618662015,0,1,0,1,0,0.5,2
2025-09-11,4437.4,65.85562739837914,1.8896880841731054,4472.317273245616,4310.181726754384,33.29999999999927,40.53388662280793,0,1,0,1,0,0.5,2
2025-09-11,4427.53,61.617358633488266,0.7700448418822496,4474.710488603632,4316.3915113963685,16.210000000000036,39.57974430181578,0,1,0,1,0,0.5,2
2025-09-11,4412.52,55.74209802196403,-1.1314658820138277,4472.029212340645,4328.052787659355,-6.509999999999309,35.99410617032276,0,-1,0,-1,0,-0.5,2
2025-09-11,4417.9,57.31319842597554,-2.119534656986822,4469.133861841568,4339.746138158433,-22.100000000000364,32.34693092078408,0,-1,0,-1,0,-0.5,0
2025-09-11,4433.31,61.52612678186729,-1.8383575004832764,4469.339559655024,4347.878440344975,-7.099999999999454,30.365279827512065,0,-1,0,-1,0,-0.5,0
2025-09-11,4420.31,56.463417215709235,-2.585251195132578,4465.916885715881,4358.752114284119,-11.109999999999673,26.791192857940736,0,-1,0,-1,0,-0.5,0
2025-09-11,4423.73,57.455246410036445,-2.883588030283189,4461.304415686626,4370.805584313374,7.4399999999996,22.624707843312866,0,-1,0,1,0,-0.09999999999999998,0
2025-09-11,4417.28,54.91435151393796,-3.508446867482462,4456.110219037323,4381.7447809626765,-10.539999999999964,18.591359518661434,0,-1,0,-1,0,-0.5,0
2025-09-11,4429.22,58.56719172676538,-3.123603939303756,4450.277851368305,4393.944148631695,-0.5799999999999272,14.083425684152672,0,-1,0,-1,0,-0.5,0
2025-09-11,4453.72,64.85872269296691,-1.3174044252106967,4448.8238233305565,4403.093176669443,27.659999999999854,11.432661665278182,0,-1,-1,1,0,-0.3,0
2025-09-11,4458.82,66.01558209071106,0.04992985065493727,4453.459335129966,4403.929664870033,21.420000000000073,12.382417564983419,0,1,-1,1,0,0.3,0
2025-09-12,4512.07,75.19687059295448,4.143220687870212,4476.647167295512,4390.816832704488,84.53999999999996,21.457583647755982,-1,1,-1,1,0,0.09999999999999998,0
2025-09-12,4497.61,69.6909076546138,5.3999739625253795,4488.186374179728,4387.135625820272,85.08999999999924,25.26268708986407,0,1,-1,1,0,0.3,0
2025-09-12,4507.51,71.24337683666403,6.355250020125311,4500.04429449357,4382.02870550643,89.61000000000058,29.503897246785293,-1,1,-1,1,0,0.09999999999999998,0
2025-09-12,4505.55,70.47374509955432,6.300126455991585,4509.65256556102,4378.934434438979,72.23999999999978,32.67953278051015,-1,1,-1,1,0,0.09999999999999998,0
2025-09-12,4521.36,73.00684651794222,6.734274275430614,4521.904240835709,4375.676759164291,101.04999999999927,36.55687041785427,-1,1,-1,1,0,0.09999999999999998,0
2025-09-12,4558.41,77.8110554287925,8.792467579451301,4541.54501785644,4370.24798214356,134.6800000000003,42.82425892822008,-1,1,-1,1,0,0.09999999999999998,0
2025-09-12,4538.99,70.70744551734406,8.136863948287065,4553.299046622492,4369.610953377508,121.71000000000004,45.92202331124602,-1,1,-1,1,0,0.09999999999999998,0
2025-09-12,4525.81,66.28460443125259,6.1943494621773105,4560.971153927852,4371.539846072148,96.59000000000015,47.3578269639261,0,1,-1,1,0,0.3,0
